model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,33,41,1,0,inception_v3,0,8,1,0,vgg19,17,21,1,0,10951.5,11130.877551020409,855.6074016875813
resnet152,39,51,1,0,inception_v3,0,4,1,0,vgg19,4,16,1,0,8652.5,8714.673469387755,296.8352382785469
resnet152,23,32,1,0,inception_v3,0,11,1,0,vgg19,10,14,1,0,16135.0,16734.285714285714,1635.384938771048
resnet152,44,48,1,0,inception_v3,8,12,1,0,vgg19,7,12,1,0,7698.0,7726.051020408163,201.81752580846035
resnet152,41,48,1,0,inception_v3,8,12,1,0,vgg19,3,10,1,0,7713.0,7760.918367346939,270.96782975969927
resnet152,39,45,1,0,inception_v3,5,12,1,0,vgg19,17,21,1,0,12625.0,12817.530612244898,1014.4695829728836
resnet152,46,50,1,0,inception_v3,6,11,1,0,vgg19,3,20,1,0,10152.5,10186.357142857143,337.38366853764325
resnet152,17,30,1,0,inception_v3,2,12,1,0,vgg19,14,19,1,0,16937.5,17307.285714285714,1023.2693702450166
resnet152,31,44,1,0,inception_v3,4,12,1,0,vgg19,3,13,1,0,14164.0,14371.051020408164,748.0644871859342
resnet152,46,50,1,0,inception_v3,5,13,1,0,vgg19,0,13,1,0,14774.0,15011.897959183674,806.5904745713927
resnet152,23,36,1,0,inception_v3,7,13,1,0,vgg19,14,19,1,0,11849.0,12238.530612244898,1316.41051227115
resnet152,35,40,1,0,inception_v3,5,10,1,0,vgg19,5,18,1,0,9765.0,10148.84693877551,1201.3614160952836
resnet152,33,45,1,0,inception_v3,2,12,1,0,vgg19,10,19,1,0,17091.5,17351.428571428572,1106.5242511428962
resnet152,43,47,1,0,inception_v3,2,6,1,0,vgg19,11,18,1,0,5907.0,5926.448979591837,211.59984001618983
resnet152,47,51,1,0,inception_v3,4,10,1,0,vgg19,8,16,1,0,11114.0,11115.857142857143,87.77847813951774
resnet152,37,51,1,0,inception_v3,1,6,1,0,vgg19,1,20,1,0,9984.5,10233.57142857143,989.9012834724523
resnet152,29,37,1,0,inception_v3,3,8,1,0,vgg19,1,11,1,0,8501.5,8846.408163265307,1001.2233316964608
resnet152,9,36,1,0,inception_v3,9,13,1,0,vgg19,16,20,1,0,17231.0,17692.969387755104,1420.8928599549838
resnet152,45,51,1,0,inception_v3,6,10,1,0,vgg19,3,18,1,0,8885.0,8979.775510204081,403.89593857349973
