model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,13,17,1,vgg19,0,5,2,4074.0,4116.67,202.00322051888182
resnet50,12,16,1,vgg19,9,20,2,4088.0,4168.71,285.8241170720204
resnet50,13,17,1,vgg19,2,13,2,4030.5,4067.53,95.3766695790957
resnet50,4,8,1,vgg19,1,21,2,3972.0,4072.93,543.9953723148756
resnet50,0,16,1,vgg19,5,19,2,14352.5,14320.44,227.16396369142709
resnet50,2,10,1,vgg19,8,13,2,7551.5,7562.59,104.63250881059864
resnet50,7,17,1,vgg19,6,15,2,9486.0,9545.12,236.58944524217475
resnet50,10,17,1,vgg19,11,18,2,6650.5,6668.14,59.855997193263775
resnet50,8,17,1,vgg19,12,17,2,8635.0,8644.83,72.21053316518304
resnet50,3,8,1,vgg19,7,17,2,4731.0,4734.21,114.12749843924557
resnet50,1,11,1,vgg19,16,20,2,9288.0,9304.71,140.53279297018187
resnet50,3,7,1,vgg19,5,19,2,3851.5,3951.52,436.90498921390224
resnet50,0,15,1,vgg19,3,11,2,13427.5,13362.97,193.5559585752916
resnet50,5,12,1,vgg19,16,21,2,6651.5,6672.23,90.89816884844271
resnet50,3,14,1,vgg19,15,21,2,10175.5,10224.77,145.35892507857918
resnet50,4,15,1,vgg19,9,20,2,10534.5,10614.09,310.7388644827036
resnet50,11,15,1,vgg19,13,21,2,4057.0,4086.84,78.74271013878047
resnet50,13,17,1,vgg19,12,19,2,4066.5,4096.5,100.60989016990328
resnet50,2,15,1,vgg19,5,21,2,12102.0,12131.41,164.86109880745062
resnet50,12,16,1,vgg19,5,10,2,4081.0,4117.26,194.9532056674114
resnet50,7,12,1,vgg19,4,12,2,4942.5,4972.23,113.40175086831775
resnet50,3,14,1,vgg19,2,17,2,10234.0,10285.77,353.81350610173155
resnet50,7,17,1,vgg19,13,21,2,9493.5,9528.98,85.778549766244
resnet50,3,9,1,vgg19,17,21,2,5850.5,5849.51,90.50685001700148
resnet50,3,11,1,vgg19,6,19,2,7613.5,7652.31,448.21759659790234
resnet50,0,13,1,vgg19,11,18,2,11360.0,11335.31,143.81346911885547
resnet50,2,16,1,vgg19,16,21,2,13145.5,13251.39,1016.4299375264387
resnet50,12,17,1,vgg19,4,18,2,4981.0,5072.83,363.4551156607924
resnet50,6,11,1,vgg19,6,20,2,4956.5,5101.44,602.4372717553257
resnet50,2,6,1,vgg19,17,21,2,3793.0,3798.39,68.96388837645394
resnet50,9,14,1,vgg19,17,21,2,4726.0,4729.24,83.80729323871522
resnet50,5,13,1,vgg19,8,13,2,7549.0,7586.66,111.57815377572798
resnet50,6,11,1,vgg19,0,6,2,4930.0,5023.01,631.5124621889895
resnet50,2,15,1,vgg19,3,11,2,12073.5,12159.13,282.9741209015411
resnet50,0,4,1,vgg19,1,19,2,3675.5,3781.42,652.3939175069
resnet50,2,11,1,vgg19,17,21,2,8427.5,8436.52,119.10982159335141
resnet50,5,14,1,vgg19,3,19,2,8453.5,8491.58,184.4825834597944
resnet50,10,15,1,vgg19,16,21,2,5051.0,5055.98,101.8876812966121
resnet50,4,10,1,vgg19,4,19,2,6007.0,6171.42,698.4601231280137
resnet50,2,7,1,vgg19,11,21,2,4672.5,4673.17,83.25875989948446
resnet50,7,13,1,vgg19,10,18,2,5876.0,5884.75,84.57900153111291
resnet50,2,17,1,vgg19,11,15,2,13835.0,13903.67,192.7708512716588
resnet50,12,17,1,vgg19,3,14,2,4995.0,5019.51,143.00884553061744
resnet50,6,15,1,vgg19,4,10,2,8722.0,8732.8,99.79268510266671
resnet50,6,10,1,vgg19,15,21,2,4114.0,4200.51,413.181812160216
resnet50,4,10,1,vgg19,10,18,2,5973.5,6012.24,134.98222994157416
resnet50,9,13,1,vgg19,16,21,2,3924.5,3940.46,181.58421847726748
resnet50,3,10,1,vgg19,0,10,2,6774.0,6841.65,429.56555669653034
resnet50,2,15,1,vgg19,0,5,2,12168.0,12201.2,178.36787827408833
resnet50,11,17,1,vgg19,17,21,2,5818.0,5829.53,62.66601231927878
resnet50,4,11,1,vgg19,14,21,2,6811.0,6848.61,373.24412641058404
