model,start,end,bs,model,start,end,bs,median,mean,var
resnet152,41,50,1,bert,0,6,2,9115.0,10451.9,2330.052735454715
resnet152,14,25,1,bert,7,11,2,9904.5,11163.17,2788.474339329663
resnet152,22,34,1,bert,3,8,2,10934.5,12827.16,2988.8161091642964
resnet152,28,46,1,bert,0,11,2,17263.5,19159.65,3925.602094902131
resnet152,14,27,1,bert,3,8,2,12032.0,14000.51,2892.194836089021
resnet152,38,48,1,bert,7,11,2,9024.0,10136.4,2625.449847169052
resnet152,30,49,1,bert,6,11,2,20182.0,20684.19,4010.6758824292947
resnet152,31,41,1,bert,2,9,2,10478.0,11509.65,2311.284505961999
resnet152,40,45,1,bert,6,11,2,7628.5,7930.04,1013.9546924789096
resnet152,40,50,1,bert,2,6,2,9247.0,10634.53,3100.1660615360597
resnet152,4,14,1,bert,2,7,2,9335.0,10720.4,2553.857713342699
resnet152,14,22,1,bert,7,11,2,7911.5,8939.5,2136.680914409075
resnet152,20,37,1,bert,2,10,2,18293.0,18734.05,3684.7755518484432
resnet152,25,31,1,bert,1,6,2,7600.5,7918.15,1092.0928108453056
resnet152,1,51,1,bert,6,10,2,50430.0,50866.47,5237.368918560159
resnet152,42,50,1,bert,6,11,2,8189.5,9182.25,2000.0579060367227
resnet152,12,51,1,bert,2,6,2,38521.0,39545.3,4996.097926382148
resnet152,28,48,1,bert,3,9,2,18035.0,20639.12,4134.17108325236
resnet152,22,47,1,bert,2,10,2,25286.0,25803.69,4198.735561320813
resnet152,25,37,1,bert,4,8,2,11416.0,13117.32,2887.828263176327
resnet152,11,38,1,bert,2,7,2,27740.5,28707.23,4712.487992249954
resnet152,11,50,1,bert,3,8,2,39102.0,40185.18,4754.22827255907
resnet152,2,37,1,bert,5,9,2,35405.5,36215.69,4456.937427640196
resnet152,40,50,1,bert,2,7,2,9543.0,11272.13,2938.8860156698834
resnet152,34,46,1,bert,6,11,2,11027.0,12500.26,2863.9435875030777
resnet152,11,48,1,bert,6,11,2,37036.5,38863.93,4941.197290647277
resnet152,33,40,1,bert,4,9,2,7603.0,8169.68,1562.130762004257
resnet152,12,36,1,bert,7,11,2,25217.0,25890.42,4177.433238676592
resnet152,10,39,1,bert,1,7,2,29620.5,30464.98,4444.235200751644
resnet152,5,35,1,bert,4,10,2,30398.5,31376.09,4622.168673025682
resnet152,30,36,1,bert,6,11,2,7647.5,7983.93,1081.5422345428772
resnet152,2,39,1,bert,1,8,2,37233.0,38618.24,4661.223185216515
resnet152,24,48,1,bert,4,10,2,25107.0,26001.92,4430.2773653124705
resnet152,37,48,1,bert,6,10,2,10013.5,11378.53,2624.362335711287
resnet152,16,44,1,bert,6,11,2,28479.0,29305.51,4366.178662159853
resnet152,40,44,1,bert,2,7,2,7607.0,7813.39,853.5522701627592
resnet152,5,26,1,bert,6,10,2,22089.5,22497.24,4137.376371856929
resnet152,30,34,1,bert,2,10,2,11842.0,11900.74,341.0565824023926
resnet152,5,38,1,bert,4,9,2,34494.0,34871.26,4611.949526219904
resnet152,12,48,1,bert,3,8,2,35697.5,36454.8,4458.358738369984
resnet152,37,50,1,bert,6,10,2,11985.5,13901.19,3085.1617840722715
resnet152,22,41,1,bert,5,9,2,18939.5,20226.94,4057.6910671464375
resnet152,0,17,1,bert,0,7,2,17589.0,18262.94,3796.1530101406606
resnet152,27,46,1,bert,7,11,2,19625.5,20394.58,3871.3299476536486
resnet152,37,41,1,bert,7,11,2,6201.0,6431.65,881.9856163793148
resnet152,23,39,1,bert,6,10,2,14700.5,17157.97,3717.743222588134
resnet152,36,46,1,bert,0,7,2,10452.0,11577.72,2474.5130514103175
resnet152,20,46,1,bert,3,7,2,26774.0,27597.51,4630.639844546324
resnet152,12,28,1,bert,1,7,2,15634.0,17253.05,3340.8658379976887
resnet152,44,51,1,bert,2,6,2,6727.5,7901.34,1928.2183601449292
resnet152,24,31,1,bert,7,11,2,6424.5,7102.35,1955.1411016855025
resnet152,14,38,1,bert,5,9,2,24927.5,25918.44,4671.593270651888
resnet152,11,17,1,bert,6,11,2,7649.5,8146.05,1461.5396701766258
resnet152,37,49,1,bert,6,11,2,12343.5,13839.87,3578.748688173005
resnet152,39,49,1,bert,6,11,2,9241.5,10256.84,2371.686989128203
resnet152,18,27,1,bert,1,10,2,13254.5,13701.56,1172.3026513661052
resnet152,12,21,1,bert,6,10,2,8392.5,9199.56,1947.9876248066876
resnet152,42,51,1,bert,2,9,2,10680.0,12248.05,2549.2194977090535
resnet152,29,44,1,bert,6,11,2,13861.5,15799.85,3419.8573256058507
